#X	Y	Z1	Z2
25	0.1388460	0.1469204	0.1307716
50	0.1667470	0.1789917	0.1545023
100	0.2125917	0.2288538	0.1963297
250	0.4850510	0.5308158	0.4392862
500	0.8156635	0.8470042	0.7843228
1000	0.7835390	0.9511450	0.6159330
2000	0.4611780	0.8969862	0.0253698
4000	0.5181470	0.7936697	0.2426243
6000	0.7248420	0.7369980	0.7126860
8000	0.7255240	1.0590839	0.3919641
10000	0.5585320	0.6644018	0.4526622
