#X	Y	Z1	Z2
25	0.3325620	0.3976411	0.2674829
50	0.2477865	0.3554143	0.1401587
100	0.3110047	0.3443171	0.2776924
250	0.4771415	0.6506592	0.3036238
500	0.6490765	0.6782621	0.6198909
1000	0.6164665	0.7743855	0.4585475
2000	0.6996755	0.7091255	0.6902255
4000	0.6877185	0.7734306	0.6020064
6000	0.7873375	0.8948821	0.6797929
8000	0.7215815	0.8142731	0.6288899
10000	0.6726190	0.6808681	0.6643699
