#X	Y	Z1	Z2
25	3.2455910	3.6240426	2.8671394
50	3.7821650	5.4206854	2.1436446
100	3.0063830	3.3298660	2.6829000
250	2.1754790	3.2357565	1.1152015
500	1.6548425	1.6877549	1.6219301
1000	0.7687590	0.9707554	0.5667626
2000	0.4405875	0.4512238	0.4299512
4000	0.2139150	0.2408200	0.1870100
6000	0.1674410	0.1902049	0.1446771
8000	0.1178035	0.1312740	0.1043330
10000	0.0895370	0.0964071	0.0826669
