#X	Y	Z1	Z2
25	947.0000000	1541.5636659	352.4363341
50	5595.5000000	5948.2190046	5242.7809954
100	3123.2500000	3676.5007414	2569.9992586
250	2098.5000000	2835.1214182	1361.8785818
500	968.5000000	1365.5687419	571.4312581
1000	228.0000000	354.1195655	101.8804345
2000	38.5000000	65.5256212	11.4743788
4000	57.5000000	130.2612878	-15.2612878
6000	7.5000000	16.5085404	-1.5085404
8000	9.0000000	10.3859293	7.6140707
10000	2.0000000	2.0000000	2.0000000
