#X	Y	Z1	Z2
25	7149.5000000	8253.3926804	6045.6073196
50	4759.5000000	7241.0063958	2277.9936042
100	9106.0000000	10642.8295196	7569.1704804
250	6644.0000000	7130.4611812	6157.5388188
500	8548.0000000	10231.9040887	6864.0959113
1000	6631.5000000	9131.0234765	4131.9765235
2000	6333.0000000	8607.3099667	4058.6900333
4000	4223.5000000	4634.4280348	3812.5719652
6000	7294.5000000	9925.6867592	4663.3132408
8000	2882.5000000	3393.2149438	2371.7850562
10000	5255.0000000	6284.7454633	4225.2545367
