#X	Y	Z1	Z2
25	51.6785735	52.6595197	50.6976273
50	27.2811425	29.0790317	25.4832533
100	19.5486032	21.5879458	17.5092607
250	15.2881240	16.1159313	14.4603167
500	11.9770900	11.9853723	11.9688077
1000	9.0557015	14.4636814	3.6477216
2000	4.7186480	8.2223812	1.2149148
4000	3.0821145	3.6740678	2.4901612
6000	1.6696030	2.2129081	1.1262979
8000	1.1674030	1.8734467	0.4613593
10000	1.1428380	1.4169873	0.8686887
