#X	Y	Z1	Z2
25	0.4063455	0.5188504	0.2938406
50	0.3946335	0.4214630	0.3678040
100	0.4368093	0.4864462	0.3871723
250	0.6467285	0.8007794	0.4926776
500	0.9856735	0.9902367	0.9811103
1000	0.9189210	1.0136687	0.8241733
2000	0.9269235	0.9996619	0.8541851
4000	0.9183275	1.0272803	0.8093747
6000	0.9954545	0.9972541	0.9936549
8000	0.9959595	0.9965520	0.9953670
10000	0.9900565	1.0023379	0.9777751
