#X	Y	Z1	Z2
25	8221.0000000	9126.0118271	7315.9881729
50	6148.0000000	6439.0451511	5856.9548489
100	5201.0000000	5713.3300909	4688.6699091
250	2789.0000000	2978.8723129	2599.1276871
500	2329.0000000	2413.5416868	2244.4583132
1000	1712.5000000	1812.9798736	1612.0201264
2000	1765.5000000	1806.3849141	1724.6150859
4000	1807.0000000	2009.3456765	1604.6543235
6000	1628.5000000	1723.4361564	1533.5638436
8000	1653.0000000	1677.9467272	1628.0532728
10000	1641.0000000	1650.7015050	1631.2984950
