#X	Y	Z1	Z2
25	3.3736975	3.9466580	2.8007370
50	4.8679985	5.0546395	4.6813575
100	3.5050172	4.1443301	2.8657044
250	2.5680125	3.4000780	1.7359470
500	2.0995340	2.1911010	2.0079670
1000	0.9918300	1.1352972	0.8483628
2000	0.5060030	0.6150756	0.3969304
4000	0.2293940	0.2421141	0.2166739
6000	0.1708550	0.1826049	0.1591051
8000	0.1481775	0.1531218	0.1432332
10000	0.1079970	0.1093940	0.1066000
