#X	Y	Z1	Z2
25	1.3605375	1.4462676	1.2748074
50	1.8497845	2.0336273	1.6659417
100	1.7088980	1.8973208	1.5204752
250	2.0520365	2.2443085	1.8597645
500	2.1123885	2.1622660	2.0625110
1000	0.7377415	0.8797085	0.5957745
2000	0.2226690	0.4373591	0.0079789
4000	0.1214365	0.1836169	0.0592561
6000	0.1165965	0.1232871	0.1099059
8000	0.0878250	0.1283967	0.0472533
10000	0.0539965	0.0653050	0.0426880
