#X	Y	Z1	Z2
25	0.3098755	0.3322811	0.2874699
50	0.3574800	0.3833636	0.3315964
100	0.3980345	0.4751375	0.3209315
250	0.5974375	0.8235858	0.3712892
500	0.8562620	0.8942531	0.8182709
1000	0.8511260	0.8872142	0.8150378
2000	0.8345515	1.0227184	0.6463846
4000	0.7244225	0.7610561	0.6877889
6000	0.8120130	0.8547606	0.7692654
8000	0.9353150	0.9437955	0.9268345
10000	0.8722945	0.8827936	0.8617954
